cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
3506102,Bebedouro,São Paulo,SP,False,Sudeste,-20.9491,-48.4791,"-20.9491,-48.4791",-23.55,-46.64,"-23.55,-46.64"
3506201,Bento De Abreu,São Paulo,SP,False,Sudeste,-21.2686,-50.814,"-21.2686,-50.814",-23.55,-46.64,"-23.55,-46.64"
3506300,Bernardino De Campos,São Paulo,SP,False,Sudeste,-23.0164,-49.4679,"-23.0164,-49.4679",-23.55,-46.64,"-23.55,-46.64"
3506359,Bertioga,São Paulo,SP,False,Sudeste,-23.8486,-46.1396,"-23.8486,-46.1396",-23.55,-46.64,"-23.55,-46.64"
3506409,Bilac,São Paulo,SP,False,Sudeste,-21.404,-50.4746,"-21.404,-50.4746",-23.55,-46.64,"-23.55,-46.64"
3506508,Birigui,São Paulo,SP,False,Sudeste,-21.291,-50.3432,"-21.291,-50.3432",-23.55,-46.64,"-23.55,-46.64"
3506607,Biritiba-Mirim,São Paulo,SP,False,Sudeste,-23.5698,-46.0407,"-23.5698,-46.0407",-23.55,-46.64,"-23.55,-46.64"
3506706,Boa Esperanca Do Sul,São Paulo,SP,False,Sudeste,-21.9918,-48.3906,"-21.9918,-48.3906",-23.55,-46.64,"-23.55,-46.64"
3506805,Bocaina,São Paulo,SP,False,Sudeste,-22.1365,-48.523,"-22.1365,-48.523",-23.55,-46.64,"-23.55,-46.64"
3506904,Bofete,São Paulo,SP,False,Sudeste,-23.1055,-48.2582,"-23.1055,-48.2582",-23.55,-46.64,"-23.55,-46.64"
3507001,Boituva,São Paulo,SP,False,Sudeste,-23.2855,-47.6786,"-23.2855,-47.6786",-23.55,-46.64,"-23.55,-46.64"
3507100,Bom Jesus Dos Perdoes,São Paulo,SP,False,Sudeste,-23.1356,-46.4675,"-23.1356,-46.4675",-23.55,-46.64,"-23.55,-46.64"
3507159,Bom Sucesso De Itarare,São Paulo,SP,False,Sudeste,-24.3155,-49.1451,"-24.3155,-49.1451",-23.55,-46.64,"-23.55,-46.64"
3507209,Bora,São Paulo,SP,False,Sudeste,-22.2696,-50.5409,"-22.2696,-50.5409",-23.55,-46.64,"-23.55,-46.64"
3507308,Boraceia,São Paulo,SP,False,Sudeste,-22.1926,-48.7808,"-22.1926,-48.7808",-23.55,-46.64,"-23.55,-46.64"
3507407,Borborema,São Paulo,SP,False,Sudeste,-21.6214,-49.0741,"-21.6214,-49.0741",-23.55,-46.64,"-23.55,-46.64"
3507456,Borebi,São Paulo,SP,False,Sudeste,-22.5728,-48.9707,"-22.5728,-48.9707",-23.55,-46.64,"-23.55,-46.64"
3507506,Botucatu,São Paulo,SP,False,Sudeste,-22.8837,-48.4437,"-22.8837,-48.4437",-23.55,-46.64,"-23.55,-46.64"
3507605,Braganca Paulista,São Paulo,SP,False,Sudeste,-22.9527,-46.5419,"-22.9527,-46.5419",-23.55,-46.64,"-23.55,-46.64"
3507704,Brauna,São Paulo,SP,False,Sudeste,-21.499,-50.3175,"-21.499,-50.3175",-23.55,-46.64,"-23.55,-46.64"
3507753,Brejo Alegre,São Paulo,SP,False,Sudeste,-21.1651,-50.1861,"-21.1651,-50.1861",-23.55,-46.64,"-23.55,-46.64"
