cd_ibge,nm_municipio,nm_uf,cd_uf,bl_capital,regiao_uf,lat_municipio,long_municipio,lat_long_municipio,lat_central_uf,long_central_uf,lat_long_central_uf
3513603,Cunha,São Paulo,SP,False,Sudeste,-23.0731,-44.9576,"-23.0731,-44.9576",-23.55,-46.64,"-23.55,-46.64"
3513702,Descalvado,São Paulo,SP,False,Sudeste,-21.9002,-47.6181,"-21.9002,-47.6181",-23.55,-46.64,"-23.55,-46.64"
3513801,Diadema,São Paulo,SP,False,Sudeste,-23.6813,-46.6205,"-23.6813,-46.6205",-23.55,-46.64,"-23.55,-46.64"
3513850,Dirce Reis,São Paulo,SP,False,Sudeste,-20.4642,-50.6073,"-20.4642,-50.6073",-23.55,-46.64,"-23.55,-46.64"
3513900,Divinolandia,São Paulo,SP,False,Sudeste,-21.6637,-46.7361,"-21.6637,-46.7361",-23.55,-46.64,"-23.55,-46.64"
3514007,Dobrada,São Paulo,SP,False,Sudeste,-21.5155,-48.3935,"-21.5155,-48.3935",-23.55,-46.64,"-23.55,-46.64"
3514106,Dois Corregos,São Paulo,SP,False,Sudeste,-22.3673,-48.3819,"-22.3673,-48.3819",-23.55,-46.64,"-23.55,-46.64"
3514205,Dolcinopolis,São Paulo,SP,False,Sudeste,-20.124,-50.5149,"-20.124,-50.5149",-23.55,-46.64,"-23.55,-46.64"
3514304,Dourado,São Paulo,SP,False,Sudeste,-22.1044,-48.3178,"-22.1044,-48.3178",-23.55,-46.64,"-23.55,-46.64"
3514403,Dracena,São Paulo,SP,False,Sudeste,-21.4843,-51.535,"-21.4843,-51.535",-23.55,-46.64,"-23.55,-46.64"
3514502,Duartina,São Paulo,SP,False,Sudeste,-22.4146,-49.4084,"-22.4146,-49.4084",-23.55,-46.64,"-23.55,-46.64"
3514601,Dumont,São Paulo,SP,False,Sudeste,-21.2324,-47.9756,"-21.2324,-47.9756",-23.55,-46.64,"-23.55,-46.64"
3514700,Echapora,São Paulo,SP,False,Sudeste,-22.4326,-50.2038,"-22.4326,-50.2038",-23.55,-46.64,"-23.55,-46.64"
3514809,Eldorado,São Paulo,SP,False,Sudeste,-24.5281,-48.1141,"-24.5281,-48.1141",-23.55,-46.64,"-23.55,-46.64"
3514908,Elias Fausto,São Paulo,SP,False,Sudeste,-23.0428,-47.3682,"-23.0428,-47.3682",-23.55,-46.64,"-23.55,-46.64"
3514924,Elisiario,São Paulo,SP,False,Sudeste,-21.1678,-49.1146,"-21.1678,-49.1146",-23.55,-46.64,"-23.55,-46.64"
3514957,Embauba,São Paulo,SP,False,Sudeste,-20.9796,-48.8325,"-20.9796,-48.8325",-23.55,-46.64,"-23.55,-46.64"
3515004,Embu,São Paulo,SP,False,Sudeste,-23.6437,-46.8579,"-23.6437,-46.8579",-23.55,-46.64,"-23.55,-46.64"
3515103,Embu-Guacu,São Paulo,SP,False,Sudeste,-23.8297,-46.8136,"-23.8297,-46.8136",-23.55,-46.64,"-23.55,-46.64"
3515129,Emilianopolis,São Paulo,SP,False,Sudeste,-21.8314,-51.4832,"-21.8314,-51.4832",-23.55,-46.64,"-23.55,-46.64"
3515152,Engenheiro Coelho,São Paulo,SP,False,Sudeste,-22.4836,-47.211,"-22.4836,-47.211",-23.55,-46.64,"-23.55,-46.64"
3515186,Espirito Santo Do Pinhal,São Paulo,SP,False,Sudeste,-22.1909,-46.7477,"-22.1909,-46.7477",-23.55,-46.64,"-23.55,-46.64"
3515194,Espirito Santo Do Turvo,São Paulo,SP,False,Sudeste,-22.6925,-49.4341,"-22.6925,-49.4341",-23.55,-46.64,"-23.55,-46.64"
3557303,Estiva Gerbi,São Paulo,SP,False,Sudeste,-22.2713,-46.9481,"-22.2713,-46.9481",-23.55,-46.64,"-23.55,-46.64"
3515202,Estrela D'Oeste,São Paulo,SP,False,Sudeste,-20.2875,-50.4049,"-20.2875,-50.4049",-23.55,-46.64,"-23.55,-46.64"
3515301,Estrela Do Norte,São Paulo,SP,False,Sudeste,-22.4859,-51.6632,"-22.4859,-51.6632",-23.55,-46.64,"-23.55,-46.64"
3515350,Euclides Da Cunha Paulista,São Paulo,SP,False,Sudeste,-22.5545,-52.5928,"-22.5545,-52.5928",-23.55,-46.64,"-23.55,-46.64"
3515400,Fartura,São Paulo,SP,False,Sudeste,-23.3916,-49.5124,"-23.3916,-49.5124",-23.55,-46.64,"-23.55,-46.64"
3515608,Fernando Prestes,São Paulo,SP,False,Sudeste,-21.2661,-48.6874,"-21.2661,-48.6874",-23.55,-46.64,"-23.55,-46.64"
3515509,Fernandopolis,São Paulo,SP,False,Sudeste,-20.2806,-50.2471,"-20.2806,-50.2471",-23.55,-46.64,"-23.55,-46.64"
3515657,Fernao,São Paulo,SP,False,Sudeste,-22.3607,-49.5187,"-22.3607,-49.5187",-23.55,-46.64,"-23.55,-46.64"
3515707,Ferraz De Vasconcelos,São Paulo,SP,False,Sudeste,-23.5411,-46.371,"-23.5411,-46.371",-23.55,-46.64,"-23.55,-46.64"
3515806,Flora Rica,São Paulo,SP,False,Sudeste,-21.6727,-51.3821,"-21.6727,-51.3821",-23.55,-46.64,"-23.55,-46.64"
3515905,Floreal,São Paulo,SP,False,Sudeste,-20.6752,-50.1513,"-20.6752,-50.1513",-23.55,-46.64,"-23.55,-46.64"
3516002,Florida Paulista,São Paulo,SP,False,Sudeste,-21.6127,-51.1724,"-21.6127,-51.1724",-23.55,-46.64,"-23.55,-46.64"
3516101,Florinia,São Paulo,SP,False,Sudeste,-22.868,-50.6814,"-22.868,-50.6814",-23.55,-46.64,"-23.55,-46.64"
3516200,Franca,São Paulo,SP,False,Sudeste,-20.5352,-47.4039,"-20.5352,-47.4039",-23.55,-46.64,"-23.55,-46.64"
3516309,Francisco Morato,São Paulo,SP,False,Sudeste,-23.2792,-46.7448,"-23.2792,-46.7448",-23.55,-46.64,"-23.55,-46.64"
3516408,Franco Da Rocha,São Paulo,SP,False,Sudeste,-23.3229,-46.729,"-23.3229,-46.729",-23.55,-46.64,"-23.55,-46.64"
3516507,Gabriel Monteiro,São Paulo,SP,False,Sudeste,-21.5294,-50.5573,"-21.5294,-50.5573",-23.55,-46.64,"-23.55,-46.64"
3516606,Galia,São Paulo,SP,False,Sudeste,-22.2918,-49.5504,"-22.2918,-49.5504",-23.55,-46.64,"-23.55,-46.64"
3516705,Garca,São Paulo,SP,False,Sudeste,-22.2125,-49.6546,"-22.2125,-49.6546",-23.55,-46.64,"-23.55,-46.64"
3516804,Gastao Vidigal,São Paulo,SP,False,Sudeste,-20.7948,-50.1912,"-20.7948,-50.1912",-23.55,-46.64,"-23.55,-46.64"
3516853,Gaviao Peixoto,São Paulo,SP,False,Sudeste,-21.8367,-48.4957,"-21.8367,-48.4957",-23.55,-46.64,"-23.55,-46.64"
3516903,General Salgado,São Paulo,SP,False,Sudeste,-20.6485,-50.364,"-20.6485,-50.364",-23.55,-46.64,"-23.55,-46.64"
3517000,Getulina,São Paulo,SP,False,Sudeste,-21.7961,-49.9312,"-21.7961,-49.9312",-23.55,-46.64,"-23.55,-46.64"
3517109,Glicerio,São Paulo,SP,False,Sudeste,-21.3812,-50.2123,"-21.3812,-50.2123",-23.55,-46.64,"-23.55,-46.64"
3517208,Guaicara,São Paulo,SP,False,Sudeste,-21.6195,-49.8013,"-21.6195,-49.8013",-23.55,-46.64,"-23.55,-46.64"
3517307,Guaimbe,São Paulo,SP,False,Sudeste,-21.9091,-49.8986,"-21.9091,-49.8986",-23.55,-46.64,"-23.55,-46.64"
3517406,Guaira,São Paulo,SP,False,Sudeste,-20.3196,-48.312,"-20.3196,-48.312",-23.55,-46.64,"-23.55,-46.64"
3517505,Guapiacu,São Paulo,SP,False,Sudeste,-20.7959,-49.2172,"-20.7959,-49.2172",-23.55,-46.64,"-23.55,-46.64"
3517604,Guapiara,São Paulo,SP,False,Sudeste,-24.1892,-48.5295,"-24.1892,-48.5295",-23.55,-46.64,"-23.55,-46.64"
3517703,Guara,São Paulo,SP,False,Sudeste,-20.4302,-47.8236,"-20.4302,-47.8236",-23.55,-46.64,"-23.55,-46.64"
3517802,Guaracai,São Paulo,SP,False,Sudeste,-21.0292,-51.2119,"-21.0292,-51.2119",-23.55,-46.64,"-23.55,-46.64"
3517901,Guaraci,São Paulo,SP,False,Sudeste,-20.4977,-48.9391,"-20.4977,-48.9391",-23.55,-46.64,"-23.55,-46.64"
3518008,Guarani D'Oeste,São Paulo,SP,False,Sudeste,-20.0746,-50.3411,"-20.0746,-50.3411",-23.55,-46.64,"-23.55,-46.64"
3518107,Guaranta,São Paulo,SP,False,Sudeste,-21.8942,-49.5914,"-21.8942,-49.5914",-23.55,-46.64,"-23.55,-46.64"
3518206,Guararapes,São Paulo,SP,False,Sudeste,-21.2544,-50.6453,"-21.2544,-50.6453",-23.55,-46.64,"-23.55,-46.64"
3518305,Guararema,São Paulo,SP,False,Sudeste,-23.4112,-46.0369,"-23.4112,-46.0369",-23.55,-46.64,"-23.55,-46.64"
3518404,Guaratingueta,São Paulo,SP,False,Sudeste,-22.8075,-45.1938,"-22.8075,-45.1938",-23.55,-46.64,"-23.55,-46.64"
3518503,Guarei,São Paulo,SP,False,Sudeste,-23.3714,-48.1837,"-23.3714,-48.1837",-23.55,-46.64,"-23.55,-46.64"
3518602,Guariba,São Paulo,SP,False,Sudeste,-21.3594,-48.2316,"-21.3594,-48.2316",-23.55,-46.64,"-23.55,-46.64"
3518701,Guaruja,São Paulo,SP,False,Sudeste,-23.9888,-46.258,"-23.9888,-46.258",-23.55,-46.64,"-23.55,-46.64"
3518800,Guarulhos,São Paulo,SP,False,Sudeste,-23.4538,-46.5333,"-23.4538,-46.5333",-23.55,-46.64,"-23.55,-46.64"
3518859,Guatapara,São Paulo,SP,False,Sudeste,-21.4944,-48.0356,"-21.4944,-48.0356",-23.55,-46.64,"-23.55,-46.64"
3518909,Guzolandia,São Paulo,SP,False,Sudeste,-20.6467,-50.6645,"-20.6467,-50.6645",-23.55,-46.64,"-23.55,-46.64"
3519006,Herculandia,São Paulo,SP,False,Sudeste,-22.0038,-50.3907,"-22.0038,-50.3907",-23.55,-46.64,"-23.55,-46.64"
3519055,Holambra,São Paulo,SP,False,Sudeste,-22.6405,-47.0487,"-22.6405,-47.0487",-23.55,-46.64,"-23.55,-46.64"
3519071,Hortolandia,São Paulo,SP,False,Sudeste,-22.8529,-47.2143,"-22.8529,-47.2143",-23.55,-46.64,"-23.55,-46.64"
3519105,Iacanga,São Paulo,SP,False,Sudeste,-21.8896,-49.031,"-21.8896,-49.031",-23.55,-46.64,"-23.55,-46.64"
3519204,Iacri,São Paulo,SP,False,Sudeste,-21.8572,-50.6932,"-21.8572,-50.6932",-23.55,-46.64,"-23.55,-46.64"
3519253,Iaras,São Paulo,SP,False,Sudeste,-22.8682,-49.1634,"-22.8682,-49.1634",-23.55,-46.64,"-23.55,-46.64"
3519303,Ibate,São Paulo,SP,False,Sudeste,-21.9584,-47.9882,"-21.9584,-47.9882",-23.55,-46.64,"-23.55,-46.64"
3519402,Ibira,São Paulo,SP,False,Sudeste,-21.083,-49.2448,"-21.083,-49.2448",-23.55,-46.64,"-23.55,-46.64"
3519501,Ibirarema,São Paulo,SP,False,Sudeste,-22.8185,-50.0739,"-22.8185,-50.0739",-23.55,-46.64,"-23.55,-46.64"
